eng,tamil,pronunciation,synonym
however,எனினும்,Eṉiṉum,"withal, all_the_same, notwithstanding, even_so, still, nonetheless, yet, however, nevertheless"
huge,பெரியது,Periyatu,"immense, vast, huge, Brobdingnagian"
human,மனிதன்,Maṉitaṉ,"man, human, human_being, homo"
humor,நகைச்சுவை,Nakaiccuvai,"sense_of_humor, body_fluid, temper, wittiness, wit, sense_of_humour, mood, witticism, liquid_body_substance, humor, bodily_fluid, humour"
hundred,நூறு,Nūṟu,"hundred, 100, C, one_hundred, one_C, century, c"
hungry,பசி,Paci,"hungry, athirst, thirsty"
hunter,ஹண்டர்,Haṇṭar,"hunting_watch, Hunter, huntsman, Orion, hunter"
hunting,வேட்டை,Vēṭṭai,"hunt, trace, track_down, hunting, run, search, hunt_down, hound"
hurt,காயம்,Kāyam,"smart, injure, trauma, distress, harm, detriment, hurt, scathe, injury, weakened, pain, wounded, suffering, offend, ache, damage, wound, suffer, anguish, bruise, spite"
husband,கணவன்,Kaṇavaṉ,"economize, economise, married_man, conserve, husband, hubby"
hypothesis,கருதுகோள்,Karutukōḷ,"hypothesis, conjecture, surmise, speculation, surmisal, supposition, possibility, theory, guess"
i,நான்,Nāṉ,"single, ane, I, one, ace, iodine, 1, i, unity, iodin, atomic_number_53"
ice,பனி,Paṉi,"icing, Methedrine, methamphetamine, chalk, internal-combustion_engine, deoxyephedrine, frost, ice_rink, ice-skating_rink, crank, sparkler, trash, methamphetamine_hydrochloride, glass, ICE, frosting, shabu, water_ice, chicken_feed, ice, frappe, meth"
idea,கருத்து,Karuttu,"estimate, estimation, thought, idea, approximation, musical_theme, theme, melodic_theme, mind"
ideal,ஏற்றதாக,Ēṟṟatāka,"saint, nonesuch, paragon, nonsuch, ideal, apotheosis, idealistic, nonpareil"
identification,அடையாளம்,Aṭaiyāḷam,"designation, recognition, identification"
identify,அடையாளம்,Aṭaiyāḷam,"distinguish, place, identify, name, key_out, discover, key, describe"
identity,அடையாளம்,Aṭaiyāḷam,"indistinguishability, identity, identity_element, identity_operator, personal_identity, identicalness, individuality"
ie,அதாவது,Atāvatu,"Internet_Explorer, ie, Explorer, i.e., IE, id_est"
if,என்றால்,Eṉṟāl,set()
ignore,புறக்கணிக்க,Puṟakkaṇikka,"dismiss, brush_off, ignore, disregard, snub, push_aside, cut, neglect, brush_aside, discount"
ill,இல்ல,Illa,"complaint, poorly, ominous, badly, sick, ailment, inauspicious, ill"
illegal,சட்டவிரோதமாக,Caṭṭavirōtamāka,illegal
illness,உடல் நலமின்மை,Uṭal nalamiṉmai,"sickness, unwellness, malady, illness"
illustrate,விளக்கவும்,Viḷakkavum,"instance, exemplify, illustrate"
image,பட,Paṭa,"range, effigy, visualise, project, figure, figure_of_speech, simulacrum, image, range_of_a_function, icon, look-alike, paradigm, persona, fancy, prototype, picture, see, trope, double, visualize, mental_image, ikon, envision, epitome"
imagination,கற்பனை,Kaṟpaṉai,"imagery, imagination, resource, vision, mental_imagery, imaging, resourcefulness, imaginativeness"
imagine,கற்பனை செய்து பாருங்கள்,Kaṟpaṉai ceytu pāruṅkaḷ,"reckon, envisage, opine, suppose, ideate, think, imagine, conceive_of, guess"
immediate,உடனடியாக,Uṭaṉaṭiyāka,"quick, straightaway, immediate, prompt, contiguous"
immediately,உடனடியாக,Uṭaṉaṭiyāka,"like_a_shot, now, straight_off, directly, straightaway, forthwith, immediately, instantly, right_away, at_once"
immigrant,குடியேறியவர்,Kuṭiyēṟiyavar,immigrant
immigration,குடிவரவு,Kuṭivaravu,"immigration, in-migration"
impact,தாக்கம்,Tākkam,"encroachment, touch_on, bear_upon, wallop, shock, impingement, touch, affect, bear_on, impact"
implement,செயல்படுத்த,Ceyalpaṭutta,"put_through, go_through, follow_out, apply, follow_up, implement, enforce, carry_out, follow_through"
implication,உட்குறிப்பு,Uṭkuṟippu,"import, significance, entailment, conditional_relation, deduction, implication, logical_implication"
imply,அர்த்தம்,Arttam,"connote, involve, inculpate, entail, imply, mean, incriminate"
importance,முக்கியத்துவம்,Mukkiyattuvam,"grandness, importance"
important,முக்கியமான,Mukkiyamāṉa,"significant, crucial, authoritative, important, of_import"
impose,சுமத்து,Cumattu,"visit, impose, inflict, levy, enforce, bring_down"
impossible,சாத்தியமற்றது,Cāttiyamaṟṟatu,"impossible, unimaginable, unacceptable, unsufferable, insufferable, out_of_the_question, inconceivable"
impress,ஈர்க்க,Īrkka,"impressment, yarn-dye, instill, impress, print, strike, move, shanghai, imprint, affect, ingrain"
impression,உணர்வை,Uṇarvai,"effect, printing, belief, depression, mental_picture, stamp, notion, feeling, picture, opinion, imprint, impression"
impressive,ஈர்க்கக்கூடிய,Īrkkakkūṭiya,"telling, impressive"
improve,மேம்படுத்தவும்,Mēmpaṭuttavum,"meliorate, ameliorate, amend, improve, better"
improvement,முன்னேற்றம்,Muṉṉēṟṟam,"betterment, improvement, melioration, advance"
in,உள்ள,Uḷḷa,"Hoosier_State, IN, inwards, Indiana, inch, In, atomic_number_49, indium, inward, in"
incentive,ஊக்கத்தொகை,Ūkkattokai,"motivator, incentive, inducement, bonus"
incident,சம்பவம்,Campavam,"incidental, incident"
include,சேர்க்கிறது,Cērkkiṟatu,"include, admit, let_in"
including,உட்பட,Uṭpaṭa,"include, admit, let_in"
income,வருமானம்,Varumāṉam,income
incorporate,இணைத்துக்கொள்ள,Iṇaittukkoḷḷa,"comprise, integrated, merged, unified, incorporated, integrate, incorporate, contain"
increase,அதிகரி,Atikari,"gain, step-up, growth, increase, addition, increment"
increased,அதிகரித்துள்ளது,Atikarittuḷḷatu,"increased, increase"
increasing,அதிகரித்து வருகிறது,Atikarittu varukiṟatu,"increase, increasing"
increasingly,பெருகிய முறையில்,Perukiya muṟaiyil,"progressively, increasingly, more_and_more"
incredible,நம்பமுடியாத,Nampamuṭiyāta,"incredible, unbelievable"
indeed,உண்மையில்,Uṇmaiyil,"indeed, so"
independence,சுதந்திரம்,Cutantiram,"Independence, independence, independency"
independent,சுதந்திரமாக,Cutantiramāka,"independent, autonomous, free_lance, self-governing, freelancer, free-lance, sovereign, main, fencesitter, self-employed_person, freelance, mugwump"
index,அட்டவணை,Aṭṭavaṇai,"index, exponent, index_finger, indicator, forefinger, index_number, indicant, power"
indian,இந்தியன்,Intiyaṉ,"Native_American, Amerind, Amerindian_language, American_Indian, Amerindic, American-Indian_language, Indian, Red_Indian"
indicate,குறிக்கவும்,Kuṟikkavum,"bespeak, point, signal, show, argue, designate, suggest, indicate, betoken"
indication,குறிப்புகள்,Kuṟippukaḷ,"reading, indication, denotation, indicant, meter_reading"
individual,தனிப்பட்ட,Taṉippaṭṭa,"single, somebody, item-by-item, private, case-by-case, someone, soul, mortal, individual, person"
industrial,தொழில்துறை,Toḻiltuṟai,industrial
industry,தொழில்,Toḻil,"industry, industriousness, manufacture, diligence"
infant,குழந்தை,Kuḻantai,"infant, baby, babe"
infection,தொற்று,Toṟṟu,"infection, transmission, contagion"
inflation,வீக்கம்,Vīkkam,"splashiness, ostentation, rising_prices, pomposity, pompousness, pretentiousness, inflation, ostentatiousness, puffiness"
influence,செல்வாக்கு,Celvākku,"shape, act_upon, charm, tempt, influence, work, mold, determine, regulate"
inform,தகவல் தெரிவிக்கவும்,Takaval terivikkavum,inform
information,தகவல்,Takaval,"entropy, data, selective_information, info, information"
ingredient,மூலப்பொருள்,Mūlapporuḷ,"constituent, factor, element, ingredient, component, fixings"
initial,தொடக்க,Toṭakka,initial
initially,ஆரம்பத்தில்,Ārampattil,"ab_initio, initially"
initiative,முயற்சி,Muyaṟci,"enterprisingness, initiatory, first, enterprise, initiative, first_step, maiden, inaugural, go-ahead, opening_move, opening"
injury,காயம்,Kāyam,"injury, trauma, combat_injury, harm, accidental_injury, wound, hurt"
inner,உள்,Uḷ,"internal, intimate, privileged, interior, inside, inner"
innocent,அப்பாவி,Appāvi,"destitute, inexperienced_person, sinless, devoid, ingenuous, unacquainted, innocent, barren, free, clean-handed, impeccant, innocuous, guiltless"
inquiry,விசாரணை,Vicāraṇai,"query, enquiry, research, inquiry, interrogation, question"
inside,உள்ளே,Uḷḷē,"in_spite_of_appearance, privileged, at_heart, interior, inside, inwardly, at_bottom, indoors, inner, within, deep_down"
insight,இன்சைட்,Iṉcaiṭ,"perceptiveness, penetration, perceptivity, brainwave, brainstorm, insight, sixth_sense"
insist,வலியுறுத்தவும்,Valiyuṟuttavum,"insist, importune, take_a_firm_stand, assert"
inspire,ஊக்கமளிக்கும்,Ūkkamaḷikkum,"urge_on, inhale, cheer, breathe_in, exalt, instigate, inspire, urge, pep_up, revolutionize, prompt, revolutionise, barrack, animate, invigorate, root_on, exhort, enliven"
install,நிறுவு,Niṟuvu,"establish, put_in, set_up, instal, install"
instance,உதாரணம்,Utāraṇam,"instance, case, example, illustration, illustrate, representative, exemplify"
instead,அதற்கு பதிலாக,Ataṟku patilāka,"or_else, instead, alternatively, rather"
institution,நிறுவனம்,Niṟuvaṉam,"asylum, mental_institution, founding, initiation, origination, creation, psychiatric_hospital, introduction, mental_home, foundation, establishment, instauration, mental_hospital, innovation, insane_asylum, institution"
institutional,நிறுவன,Niṟuvaṉa,institutional
instruction,வழிமுறைகள்,Vaḻimuṟaikaḷ,"educational_activity, program_line, direction, statement, pedagogy, education, instruction, teaching, command, didactics"
instructor,பயிற்றுவிப்பாளர்,Payiṟṟuvippāḷar,"teacher, instructor"
instrument,கருவி,Karuvi,"""cats-paw"", instrument, instrumentate, legal_document, pawn, instrumental_role, legal_instrument, musical_instrument, official_document, tool"
insurance,காப்பீடு,Kāppīṭu,"indemnity, policy, insurance, insurance_policy"
intellectual,அறிவுசார்,Aṟivucār,"intellect, intellectual, rational, noetic, cerebral"
intelligence,உளவுத்துறை,Uḷavuttuṟai,"intelligence_operation, intelligence_service, intelligence_information, news, intelligence, word, intelligence_agency, tidings, intelligence_activity"
intend,உத்தேசித்துள்ள,Uttēcittuḷḷa,"signify, intend, designate, specify, stand_for, think, mean, destine"
intense,தீவிரமாக,Tīviramāka,"vivid, intense, acute"
intensity,தீவிரம்,Tīviram,"chroma, loudness, intensiveness, intensity_level, strength, intensity, vividness, volume, saturation"
intention,எண்ணம்,Eṇṇam,"purpose, design, intent, intention, aim"
interaction,தொடர்பு,Toṭarpu,"fundamental_interaction, interaction"
interest,ஆர்வம்,Ārvam,"interest_group, stake, pastime, occupy, worry, matter_to, concern, interest, sake, interestingness, involvement, pursuit"
interested,ஆர்வமாக,Ārvamāka,"occupy, worry, matter_to, concern, interest, concerned, interested"
interesting,சுவாரசியமான,Cuvāraciyamāṉa,"occupy, worry, matter_to, concern, interest, interesting"
internal,உள்,Uḷ,"internal, intimate, interior, intragroup, home, inner, national"
international,சர்வதேச,Carvatēca,"international, external, International, outside"
internet,இணையதளம்,Iṇaiyataḷam,"net, internet, cyberspace"
interpret,விளக்குவது,Viḷakkuvatu,"rede, translate, represent, see, read, render, understand, interpret, construe"
interpretation,விளக்கம்,Viḷakkam,"reading, interpreting, interpretation, rendition, version, rendering"
intervention,தலையீடு,Talaiyīṭu,"intervention, treatment, interposition, interference, intercession"
interview,நேர்காணல்,Nērkāṇal,"consultation, question, interview, audience"
into,மீது,Mītu,set()
introduce,அறிமுகம்,Aṟimukam,"acquaint, bring_out, put_in, introduce, bring_in, stick_in, infix, enter, innovate, inaugurate, present, premise, usher_in, preface, insert, inclose, precede, enclose"
introduction,அறிமுகம்,Aṟimukam,"presentation, initiation, insertion, founding, debut, origination, unveiling, creation, introduction, foundation, intromission, launching, entry, institution, instauration, intro, innovation, first_appearance"
invasion,படையெடுப்பு,Paṭaiyeṭuppu,"encroachment, invasion, intrusion"
invest,முதலீடு,Mutalīṭu,"place, induct, seat, empower, endue, enthrone, invest, indue, commit, endow, gift, clothe, put, vest, adorn"
investigate,விசாரணை,Vicāraṇai,"investigate, inquire, look_into, enquire"
investigation,விசாரணை,Vicāraṇai,"investigating, probe, investigation"
investigator,ஆராய்ச்சிப்பான்,Ārāyccippāṉ,"researcher, detective, police_detective, research_worker, tec, investigator"
investment,முதலீடு,Mutalīṭu,"investing, investiture, investment, investment_funds"
investor,முதலீட்டாளர்,Mutalīṭṭāḷar,investor
invite,அழைப்பை அழைக்கவும்,Aḻaippai aḻaikkavum,"ask_for, ask_over, invite, tempt, receive, take_in, call_for, ask_round, bid, ask_in, pay_for"
involve,ஈடுபடு,Īṭupaṭu,"require, postulate, involve, take, ask, regard, demand, call_for, necessitate, imply, need, affect"
involved,சம்பந்தப்பட்ட,Campantappaṭṭa,"take, mired, tortuous, require, involve, regard, demand, necessitate, convoluted, ask, call_for, imply, need, affect, postulate, tangled, involved, knotty, Byzantine"
involvement,ஈடுபாடு,Īṭupāṭu,"affair, amour, liaison, involution, intimacy, interest, affaire, involvement, engagement, participation"
iraqi,ஈராக்,Īrāk,"Iraki, Iraqi"
irish,ஐரிஷ்,Airiṣ,"Irish_Gaelic, Irish_whisky, Irish_whiskey, Irish_people, Irish"
iron,இரும்பு,Irumpu,"cast-iron, press, iron, atomic_number_26, iron_out, Fe, smoothing_iron, branding_iron"
islamic,இஸ்லாமிய,Islāmiya,"Moslem, Muslim, Islamic"
island,தீவு,Tīvu,island
israeli,இஸ்ரேலிய,Isrēliya,Israeli
issue,பிரச்சினை,Piracciṉai,"come_forth, subject, take, publication, offspring, issuance, issue, way_out, payoff, number, proceeds, exit, egress, outlet, put_out, matter, event, make_out, issuing, effect, write_out, publish, come_out, consequence, release, cut, return, topic, upshot, bring_out, government_issue, yield, progeny, go_forth, supply, emerge, military_issue, takings, result, emergence, outcome"
it,அது,Atu,"information_technology, IT"
italian,இத்தாலிய,Ittāliya,Italian
item,உருப்படி,Uruppaṭi,"detail, point, token, item, particular"
its,அதன்,Ataṉ,"information_technology, IT"
itself,தன்னை,Taṉṉai,set()
jacket,ஜாக்கெட்,Jākkeṭ,"cap, crownwork, crown, jacket_crown, jacket"
jail,சிறை,Ciṟai,"slammer, gaol, jail, poky, imprison, put_away, immure, clink, pokey, put_behind_bars, jug, remand, jailhouse, lag, incarcerate"
japanese,ஜப்பானிய,Jappāṉiya,"Japanese, Nipponese"
jet,ஜெட்,Jeṭ,"green, sooty, super_C, spurt, blue_jet, cat_valium, pitchy, special_K, fountain, spirt, coal-black, squirt, honey_oil, super_acid, jet_plane, reverse_lightning, jet, K, gush, jet-black, jet-propelled_plane"
jew,யூதர்,Yūtar,"Jew, Israelite, Hebrew"
jewish,யூதர்கள்,Yūtarkaḷ,"Jewish, Judaic"
job,பணி,Paṇi,"caper, line_of_work, Job, farm_out, occupation, Book_of_Job, speculate, line, chore, job, problem, subcontract, task, business"
join,சேர,Cēra,"unite, connect, get_together, fall_in, union, link, junction, sum, join, articulation, conjoin, juncture, bring_together, joint, link_up"
joint,கூட்டு,Kūṭṭu,"roast, articulate, stick, reefer, spliff, marijuana_cigarette, junction, join, articulation, juncture, joint, articulatio"
joke,நகைச்சுவை,Nakaiccuvai,"caper, gag, joke, prank, jape, jocularity, laugh, jest, antic, trick, put-on"
journal,ஜர்னல்,Jarṉal,"journal, daybook, diary"
journalist,பத்திரிகையாளர்,Pattirikaiyāḷar,"diarist, journalist, diary_keeper"
journey,பயணம்,Payaṇam,"travel, journey, journeying"
joy,மகிழ்ச்சி,Makiḻcci,"delight, pleasure, joy, rejoice, joyousness, joyfulness, gladden"
judge,நீதிபதி,Nītipati,"evaluator, estimate, pass_judgment, try, approximate, adjudicate, label, gauge, pronounce, judge, justice, evaluate, jurist, guess"
judgment,தீர்ப்பு,Tīrppu,"sagacity, judging, sagaciousness, sound_judgment, sound_judgement, perspicacity, legal_opinion, discernment, assessment, judgement, mind, judicial_decision, opinion, judgment"
juice,சாறு,Cāṟu,"succus, juice"
jump,தாவி செல்லவும்,Tāvi cellavum,"skip, spring, jump-start, alternate, chute, bound, start, saltation, rise, parachuting, derail, pass_over, jump_out, jumping, jump, leap, jumpstart, climb_up, skip_over, startle, jump_off, leap_out, stick_out, parachute, stand_out"
junior,ஜூனியர்,Jūṉiyar,"Junior, Jnr, Jr, junior, next-to-last, third-year"
jury,நீதிபதி,Nītipati,"panel, jury"
just,வெறும்,Veṟum,"equitable, fair, just_now, scarcely, scarce, precisely, simply, just, exactly, only, good, merely, hardly, barely, but, upright"
justice,நீதி,Nīti,"Department_of_Justice, justness, Justice, judge, justice, DoJ, jurist, Justice_Department"
justify,நியாயப்படுத்தவும்,Niyāyappaṭuttavum,"rationalize, excuse, vindicate, apologize, absolve, justify, free, apologise, rationalise, warrant"
keep,வை,Vai,"sustenance, restrain, dungeon, living, prevent, keep, keep_on, celebrate, go_along, sustain, continue, hold, observe, retain, bread_and_butter, keep_open, donjon, preserve, livelihood, hold_on, keep_back, maintain, proceed, support, stay_fresh, hold_back, save, hold_open, go_on"
key,முக்கிய,Mukkiya,"primal, Key, discover, describe, paint, winder, headstone, name, samara, Francis_Scott_Key, identify, central, fundamental, cardinal, key_out, key_fruit, distinguish, keystone, cay, tonality, key, Florida_key"
kick,கிக்,Kik,"flush, bitch, kvetch, kick_back, complain, sound_off, squawk, gripe, bang, beef, boot, recoil, quetch, kick, kicking, thrill, plain, give_up, charge, rush"
kid,குழந்தை,Kuḻantai,"Thomas_Kyd, small_fry, Kid, tyke, Kyd, pull_the_leg_of, kid, tiddler, nipper, nestling, tike, chaff, shaver, child, jolly, fry, kidskin, youngster, minor, Thomas_Kid, banter, josh"
kill,கொல்லுங்கள்,Kolluṅkaḷ,"down, belt_down, drink_down, defeat, kill, toss_off, pour_down, obliterate, pop, putting_to_death, bolt_down, vote_out, stamp_out, shoot_down, vote_down, killing, wipe_out"
killer,கொலையாளி,Kolaiyāḷi,"sea_wolf, killer_whale, orca, slayer, Orcinus_orca, grampus, cause_of_death, killer"
killing,கொல்லும்,Kollum,"drink_down, defeat, sidesplitting, vote_out, pour_down, killing, down, toss_off, obliterate, violent_death, pop, shoot_down, putting_to_death, bolt_down, cleanup, wipe_out, belt_down, kill, stamp_out, vote_down"
kind,கருணை,Karuṇai,"form, sort, genial, variety, kind, tolerant"
king,கிங்,Kiṅ,"king, world-beater, mogul, King, male_monarch, top_executive, baron, business_leader, B._B._King, power, Martin_Luther_King_Jr., Billie_Jean_Moffitt_King, magnate, Martin_Luther_King, Billie_Jean_King, tycoon, queen, big_businessman, Riley_B_King, Rex"
kiss,முத்தம்,Muttam,"buss, osculation, snog, candy_kiss, kiss, osculate"
kitchen,சமையலறை,Camaiyalaṟai,kitchen
knee,முழங்கால்,Muḻaṅkāl,"articulatio_genus, knee, human_knee, stifle, knee_joint, genu"
knife,கத்தி,Katti,"tongue, stab, knife"
knock,நாக்,Nāk,"bang, strike_hard, pink, roast, criticise, whack, bump, knocking, rap, ping, criticize, bash, belt, whang, knock, tap, pick_apart, smash"
know,தெரியும்,Teriyum,"be_intimate, have_a_go_at_it, know, sleep_with, screw, fuck, recognize, have_sex, bed, live, get_it_on, make_out, lie_with, cognise, bang, love, roll_in_the_hay, sleep_together, experience, eff, have_intercourse, do_it, have_it_away, jazz, make_love, bonk, get_laid, cognize, acknowledge, have_it_off, hump, recognise"
knowledge,அறிவு,Aṟivu,"cognition, noesis, knowledge"
lab,ஆய்வகம்,Āyvakam,"lab, science_laboratory, laboratory, science_lab, research_laboratory, research_lab"
label,லேபிள்,Lēpiḷ,"recording_label, tag, label, pronounce, judge, mark"
labor,தொழிலாளர்,Toḻilāḷar,"toil, labor_movement, Labor_Department, project, grind, Department_of_Labor, British_Labour_Party, tug, dig, labour, moil, proletariat, working_class, lying-in, fag, undertaking, drudge, travail, parturiency, task, DoL, Labour_Party, Labor, confinement, labor, Labour, drive, push, childbed, trade_union_movement"
laboratory,ஆய்வகம்,Āyvakam,"lab, testing_ground, science_laboratory, laboratory, science_lab, research_laboratory, research_lab"
lack,பற்றாக்குறை,Paṟṟākkuṟai,"want, miss, lack, deficiency"
lady,பெண்,Peṇ,"gentlewoman, lady, dame, noblewoman, madam, Lady, ""maam"", peeress"
lake,ஏரி,Ēri,lake
land,நில,Nila,"kingdom, terra_firma, res_publica, bring, ground, body_politic, solid_ground, soil, down, state, dry_land, country, Din_Land, shore, shoot_down, earth, acres, farming, nation, put_down, commonwealth, bring_down, domain, realm, Land, set_down, demesne, landed_estate, set_ashore, land, estate, Edwin_Herbert_Land"
landscape,இயற்கை,Iyaṟkai,"landscape, landscape_painting"
language,மொழி. மொழி,Moḻi. Moḻi,"spoken_communication, language, speech, oral_communication, speech_communication, spoken_language, words, lyric, linguistic_process, terminology, nomenclature, linguistic_communication, voice_communication"
lap,மடியில்,Maṭiyil,"lave, circuit, lap, lick, swoosh, lap_up, swosh, circle, lap_covering, wash, overlap, swish"
large,பெரிய,Periya,"bombastic, expectant, boastfully, magnanimous, declamatory, vauntingly, large, turgid, great, with_child, prominent, big, heavy, orotund, gravid, tumid, enceinte"
largely,பெரும்பாலும்,Perumpālum,"for_the_most_part, largely, mostly"
last,கடந்த,Kaṭanta,"conclusion, survive, go, end, concluding, utmost, death, live_on, endure, ""shoemakers_last"", final_stage, hold_out, final, in_conclusion, lowest, finish, close, finale, net, last-place, live, hold_up, finis, stopping_point, finally, ""cobblers_last"", terminal, last, lastly"
late,தாமதமாக,Tāmatamāka,"of_late, lately, tardy, belatedly, former, latterly, recently, previous, late, belated, tardily, recent, later, deep"
later,பின்னர்,Piṉṉar,"tardy, former, posterior, subsequently, afterward, by_and_by, afterwards, after, previous, late, belated, ulterior, recent, later_on, later"
latin,லத்தீன்,Lattīṉ,"Romance, Latin"
latter,பிந்தையது,Pintaiyatu,latter
laugh,சிரிக்க,Cirikka,"gag, joke, express_mirth, express_joy, jape, laugh, jest, laughter"
launch,துவக்க,Tuvakka,"establish, set_up, set_in_motion, found, launching, launch, plunge"
law,விதி,Viti,"law_of_nature, police, practice_of_law, police_force, jurisprudence, constabulary, law, legal_philosophy, natural_law"
lawn,புல்வெளி,Pulveḷi,lawn
lawsuit,வழக்கு,Vaḻakku,"cause, lawsuit, causa, case, suit"
lawyer,வழக்கறிஞர்.,Vaḻakkaṟiñar.,"lawyer, attorney"
lay,லே,Lē,"place, lay, lie_in, rest, pose, lie_down, laic, set, lie, consist, dwell, secular, put_down, position, put, repose, ballad"
layer,அடுக்கு,Aṭukku,"level, bed, stratum, layer"
lead,வழி நடத்து,Vaḻi naṭattu,"take, atomic_number_82, pass, spark_advance, go, extend, tip, head, run, lead, Pb, pencil_lead, moderate, conduce, principal, lead_story, precede, chair, conduct, jumper_lead, lead-in, jumper_cable, top, track, tether, guide, leash, direct, steer, booster_cable, lede, confidential_information, wind, leave, leading, contribute, star, hint, result, trail"
leader,தலைவர்,Talaivar,"loss_leader, leader, drawing_card"
leadership,தலைமைத்துவம்,Talaimaittuvam,"leadership, leaders, leading"
leading,முன்னணி,Muṉṉaṇi,"in_the_lead, take, starring, leadership, pass, go, extend, head, stellar, run, prima, lead, preeminent, moderate, conduce, precede, chair, conduct, top, guide, direct, ahead, leave, leading, contribute, star, result"
leaf,இலை,Ilai,"leafage, leaf, riff, riffle, foliage, flick, thumb, folio, flip"
league,லீக்,Līk,"conference, league"
lean,ஒல்லியான,Olliyāṉa,"list, leaning, tend, be_given, tilt, thin, incline, angle, inclination, slant, tip, skimpy, lean, run"
learn,அறிய,Aṟiya,"ascertain, take, get_a_line, teach, watch, hear, find_out, discover, instruct, acquire, learn, con, pick_up, determine, get_word, larn, see, study, memorize, get_wind, memorise, read, check"
learning,கற்றல்,Kaṟṟal,"ascertain, take, get_a_line, teach, watch, hear, find_out, discover, instruct, encyclopaedism, acquire, learn, scholarship, erudition, encyclopedism, con, pick_up, determine, get_word, larn, see, study, learning, memorize, get_wind, eruditeness, acquisition, memorise, learnedness, read, check"
least,குறைந்தது,Kuṟaintatu,"least, to_the_lowest_degree"
leather,தோல்,Tōl,leather
leave,விட்டு,Viṭṭu,"allow_for, bequeath, parting, go_out, leave-taking, pull_up_stakes, forget, lead, exit, get_out, entrust, leave_behind, leave_of_absence, depart, go_away, leave_alone, allow, farewell, impart, provide, pass_on, go_forth, give, leave, result, will"
left,இடது,Iṭatu,"allow_for, bequeath, go_out, remaining, left_field, pull_up_stakes, forget, unexpended, leftover, lead, left_wing, exit, get_out, left, entrust, leave_behind, depart, leave_alone, go_away, left_over, allow, left_hand, impart, provide, pass_on, go_forth, left-hand, give, leave, odd, result, leftfield, will"
leg,கால்,Kāl,"wooden_leg, peg, leg, pegleg, ramification, stage, branch"
legacy,மரபணு,Marapaṇu,"bequest, legacy"
legal,சட்ட,Caṭṭa,"legal, effectual, sound"
legend,புராண,Purāṇa,"fable, caption, legend"
legislation,சட்டம் மட்டுமே,Caṭṭam maṭṭumē,"lawmaking, legislating, legislation, statute_law"
legitimate,சட்டபூர்வமான,Caṭṭapūrvamāṉa,"legitimatise, legitimise, legitimize, lawful, legitimatize, decriminalize, logical, legalise, legalize, decriminalise, legitimate, licit"
lemon,எலுமிச்சை,Elumiccai,"lemon_yellow, gamboge, maize, Citrus_limon, stinker, lemon_tree, lemon"
length,நீளம்,Nīḷam,"distance, duration, length"
less,குறைந்த,Kuṟainta,"LE, lupus_erythematosus, less, to_a_lesser_extent"
lesson,பாடம்,Pāṭam,"lesson, moral, example, object_lesson, deterrent_example"
let,விடு,Viṭu,"Army_of_the_Pure, LET, allow, lease, countenance, get, Lashkar-e-Taiba, have, permit, Lashkar-e-Toiba, rent, net_ball, Lashkar-e-Tayyiba, Army_of_the_Righteous, let"
letter,கடிதம்,Kaṭitam,"missive, varsity_letter, letter, letter_of_the_alphabet, alphabetic_character"
level,நிலை,Nilai,"flush, even, floor, storey, degree, level_off, unwavering, rase, level, tied, grade, raze, tear_down, stratum, take_down, stage, spirit_level, pull_down, layer, even_out, story, tier, dismantle, plane, flat, point, horizontal_surface, charge"
liberal,தாராளமயமாக்கல்,Tārāḷamayamākkal,"giving, liberal, large-minded, broad, bountiful, progressive, handsome, loose, bighearted, bounteous, big, openhanded, free, tolerant, liberalist, freehanded"
library,நூலகம்.,Nūlakam.,"library, subroutine_library, depository_library, program_library"
license,உரிமம்,Urimam,"permission, permit, certify, license, licence"
lie,பொய்,Poy,"lie_in, lie_down, rest, Trygve_Lie, prevarication, consist, dwell, Lie, Trygve_Halvden_Lie, lie"
life,வாழ்க்கை,Vāḻkkai,"life_sentence, liveliness, animation, life_story, lifetime, life-time, spirit, aliveness, biography, life_history, living, life, lifespan, sprightliness"
lifestyle,வாழ்க்கை,Vāḻkkai,"life-style, lifestyle, life_style, modus_vivendi"
lifetime,வாழ்நாள்,Vāḻnāḷ,"life, lifespan, lifetime, life-time"
lift,லிப்ட்,Lipṭ,"elevation, countermand, snarf, plagiarize, heave, hook, raising, purloin, go_up, pinch, bring_up, move_up, ski_lift, rise, plagiarise, lift, rescind, overturn, abstract, elevate, elevator, come_up, swipe, rear, get_up, cabbage, airlift, pilfer, arise, uprise, vacate, rustle, face-lift, rhytidectomy, facelift, annul, revoke, cosmetic_surgery, ski_tow, rhytidoplasty, raise, nip_and_tuck, reverse, filch, sneak, hoist, aerodynamic_lift, nobble, face_lift, wind, repeal, face_lifting"
light,ஒளி,Oḷi,"perch, unclouded, lightheaded, low-cal, lightly, fire_up, abstemious, light_source, idle, lighting, wanton, luminousness, light_up, clear, visible_light, get_off, clean, short, ignite, swooning, unaccented, ignitor, illuminate, Inner_Light, brightness, igniter, sluttish, loose, faint, light-colored, Light, promiscuous, wakeful, twinkle, alight, light-headed, dismount, tripping, Light_Within, calorie-free, scant, spark, luminosity, lighter, brightness_level, lightsome, light, fall, lightness, visible_radiation, weak, luminance, lite, unhorse, get_down, illume, sparkle, Christ_Within, easy, illumination, illumine"
